Date & Time,Host name,Java version,JobRunr type,JobRunr version,StorageProvider,amount of created jobs,amount of succeeded jobs,creation duration,processing duration,job throughput (jobs / sec)
2025-04-30T12:30:36.188751390Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,7.5.0 (HEAD),MySqlStorageProvider,500010,174768,PT1M46.773354372S,PT10M0.002718588S,291.28
2025-04-30T12:43:11.706959046Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,7.5.0 (HEAD),OracleStorageProvider,500010,229823,PT1M30.679907285S,PT10M0.375986511S,383.04
2025-04-30T12:55:29.252305409Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,7.5.0 (HEAD),PostgresStorageProvider,500010,537656,PT30.318363756S,PT6M37.047082751S,1354.30
2025-04-30T13:02:46.503575153Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,7.5.0 (HEAD),SQLServerStorageProvider,500010,78931,PT1M34.380173743S,PT10M0.659964568S,131.55
2025-04-30T13:14:47.605386544Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,1.0.0-SNAPSHOT (feature/v8/performance-improvement@9eb0e3213),MariaDbStorageProvider,500010,515491,PT44.020565204S,PT2M24.937003107S,3579.80
2025-04-30T13:18:18.087998570Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,1.0.0-SNAPSHOT (feature/v8/performance-improvement@9eb0e3213),MongoDBStorageProvider,500010,535407,PT41.509414753S,PT5M4.837494269S,1761.21
2025-04-30T13:24:10.448105832Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,1.0.0-SNAPSHOT (feature/v8/performance-improvement@9eb0e3213),MySqlStorageProvider,500010,463055,PT1M43.03514701S,PT10M0.157668994S,771.76
2025-04-30T13:36:37.701791957Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,1.0.0-SNAPSHOT (feature/v8/performance-improvement@9eb0e3213),OracleStorageProvider,500010,432472,PT2M12.667634192S,PT10M0.66368538S,720.79
2025-04-30T13:50:06.987498251Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,1.0.0-SNAPSHOT (feature/v8/performance-improvement@9eb0e3213),PostgresStorageProvider,500010,524912,PT30.247351613S,PT3M27.479669186S,2535.81
2025-05-01T09:52:27.582822529Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,1.0.0-SNAPSHOT (feature/v8/performance-improvement@9eb0e3213),SQLServerStorageProvider,500010,397261,PT1M27.874684981S,PT15M3.057726775S,439.93
2025-05-01T10:12:50.266737073Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,1.0.0-SNAPSHOT (feature/v8/performance-improvement@9eb0e3213),SQLServerStorageProvider,500010,398793,PT1M27.042745884S,PT15M0.074037686S,443.10
2025-05-01T10:36:07.490038231Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,1.0.0-SNAPSHOT (feature/v8/performance-improvement@9eb0e3213),SQLServerStorageProvider,500010,335372,PT1M26.370511798S,PT15M0.957344268S,372.64
2025-05-01T14:15:24.568417587Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,7.5.0 (HEAD),MariaDbStorageProvider,500010,226412,PT48.548658306S,PT10M0.250243734S,377.35
2025-05-01T14:26:39.556173555Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,7.5.0 (HEAD),MongoDBStorageProvider,500010,544583,PT43.137818684S,PT8M29.818195613S,1069.91
2025-05-01T14:35:58.654995116Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,7.5.0 (HEAD),MySqlStorageProvider,500010,178201,PT1M48.155301554S,PT10M1.775036599S,296.51
2025-05-01T14:48:37.417904288Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,7.5.0 (HEAD),OracleStorageProvider,500010,229293,PT2M11.451788095S,PT10M0.139717569S,382.16
2025-05-01T15:01:46.406977210Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,7.5.0 (HEAD),PostgresStorageProvider,500010,533339,PT32.042008295S,PT6M38.138275332S,1340.05
2025-05-01T15:09:01.718871405Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,7.5.0 (HEAD),SQLServerStorageProvider,500010,64095,PT1M16.182602995S,PT10M3.100447203S,106.29
2025-05-01T16:10:05.070888920Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,1.0.0-SNAPSHOT (feature/v8/performance-improvement@9eb0e3213),MariaDbStorageProvider,500010,524463,PT44.945302079S,PT4M8.892444911S,2114.77
2025-05-01T16:15:21.310693494Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,1.0.0-SNAPSHOT (feature/v8/performance-improvement@9eb0e3213),MongoDBStorageProvider,500010,541488,PT42.918629341S,PT5M55.726234007S,1525.32
2025-05-01T16:22:06.083765252Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,1.0.0-SNAPSHOT (feature/v8/performance-improvement@9eb0e3213),MySqlStorageProvider,500010,571221,PT2M14.974511926S,PT15M0.720565295S,634.69
2025-05-01T16:40:21.862578406Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,1.0.0-SNAPSHOT (feature/v8/performance-improvement@9eb0e3213),OracleStorageProvider,500010,573456,PT2M49.740953708S,PT14M6.699774515S,677.84
2025-05-01T16:58:39.929680724Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,1.0.0-SNAPSHOT (feature/v8/performance-improvement@9eb0e3213),PostgresStorageProvider,500010,531660,PT31.993786638S,PT4M47.716026652S,1852.47
2025-05-01T18:02:24.468790641Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,1.0.0-SNAPSHOT (feature/v8/performance-improvement@9eb0e3213),PostgresStorageProvider,500010,528713,PT31.566647332S,PT4M22.948507968S,2017.99
2025-05-01T19:10:24.815130852Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,1.0.0-SNAPSHOT (feature/v8/performance-improvement@9eb0e3213),SQLServerStorageProvider,500010,387097,PT1M29.79691823S,PT15M0.278187809S,430.11
2025-05-02T06:28:47.227056873Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,1.0.0-SNAPSHOT (feature/v8/performance-improvement@9eb0e3213),SQLServerStorageProvider,500010,387408,PT1M47.619572593S,PT15M3.055930298S,429.02
2025-05-02T09:34:03.330388892Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,1.0.0-SNAPSHOT (feature/v8/performance-improvement-sql-server@87ec69eff),SQLServerStorageProvider,500010,293305,PT1M29.724795192S,PT15M3.283426815S,324.81
2025-05-02T10:15:31.968864653Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,1.0.0-SNAPSHOT (feature/v8/performance-improvement-sql-server@87ec69eff),SQLServerStorageProvider,500010,302765,PT1M31.360465738S,PT15M0.227918342S,336.41
2025-05-02T10:44:38.068731137Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,1.0.0-SNAPSHOT (feature/v8/performance-improvement-sql-server@87ec69eff),SQLServerStorageProvider,500010,298558,PT1M47.729129216S,PT15M11.754324124S,327.73
2025-05-02T11:09:02.564316021Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,1.0.0-SNAPSHOT (feature/v8/performance-improvement-sql-server@3ba51ef91),MariaDbStorageProvider,500010,524778,PT57.728625139S,PT4M19.418257427S,2026.17
2025-05-02T11:15:03.330243035Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,1.0.0-SNAPSHOT (feature/v8/performance-improvement-sql-server@3ba51ef91),MongoDBStorageProvider,500010,540098,PT54.238550967S,PT6M12.734560687S,1451.88
2025-05-02T11:22:17.724803259Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,1.0.0-SNAPSHOT (feature/v8/performance-improvement-sql-server@3ba51ef91),MySqlStorageProvider,500010,548565,PT2M16.266843395S,PT15M0.385062939S,609.52
2025-05-02T11:41:56.482341396Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,1.0.0-SNAPSHOT (feature/v8/performance-improvement-sql-server@3ba51ef91),PostgresStorageProvider,500010,525768,PT41.692970563S,PT4M31.088778388S,1940.10
2025-05-02T11:47:16.946593653Z,Ubuntu-2204-jammy-amd64-base,21.0.4+7-LTS,JobRunr Pro,1.0.0-SNAPSHOT (feature/v8/performance-improvement-sql-server@3ba51ef91),SQLServerStorageProvider,500010,297448,PT1M48.699621626S,PT15M0.136273923S,330.50
